curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
171,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
172,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
173,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
174,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
175,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
176,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
177,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
178,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
179,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
180,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
181,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
182,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
183,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
184,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
185,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
186,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
187,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
188,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
189,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
190,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
191,0.7268957345971564,['H2FS18', 'H1DS11', 'H2FS7', 'H2WP13', 'H2PF31', 'H1PF30', 'H2PF27', 'H2ED14', 'H2FS6', 'H2SE4', 'H1FS6', 'H1ED9', 'H1PF36', 'H2FS5', 'H1FS9', 'H1PF14', 'H2FS12', 'H2TO25', 'H2PF21', 'H1FS16', 'H2DS7', 'H2FS1', 'H2FS19', 'H2SE4', 'PA56', 'H1PF31', 'H2ED16', 'H1ED15', 'H2FV1', 'H1PF15', 'H2PF23', 'H1FS2', 'H2PF8', 'H1DS10', 'H2PF34', 'H1TO3', 'H1PF16', 'H2WP10', 'H2DS14', 'H1ED24', 'H1FS5', 'H2DS10', 'H1PF32', 'H2PF26', 'H2FS10', 'H2PF24', 'H2ED12', 'H1DS14', 'PA21', 'H2TO15', 'H1PF16', 'H1DS7', 'H2WP9', 'H2FV4', 'H2WP2', 'H2DS6', 'H2FV2', 'H2DS1', 'H2WP14', 'H1TO9', 'H1DS9', 'H2GH25', 'H1TO1', 'H1PF10', 'H1FS10', 'H1EE7', 'H1PF14', 'H1EE5', 'H2PF7', 'H1TS3', 'H2PF16', 'H2FS14', 'H2TO11', 'H2FS13', 'H1FS11', 'S60N', 'H2PF32', 'H1GH20', 'H1FS17', 'H2EE14'],77,88,58
